1;A001;ANEKA KABEL ELEKTRIK, P. T.;SAMSUDIN;01.699.183.8.401.000;;;;"Jl. Raya Serang KM 60 Leuwilimus RT/RW : 07/03 Cikande Serang .
";;Lokal
2;A002;ARIES KABEL INDONESIA, P. T.;GONDO;01.495.201.4.402.000;(021) 5324318;;(021) 5324317;"Wisma Sejahtera Jl. Letjen S. Parman Kav. 75 Jakarta
";;Lokal
3;A003;ATLANTIK KARYA MANUNGGAL, P.T.;YUSMIN;__.___.___._.___.___;(021) 5640885;;(021)5640884;"Jl. Kepa Duri Mas Blok XX No. 28 Jakarta Barat

arat
";;Lokal
4;A004;ANAM, P. T.;ANAM;__.___.___._.___.___;(021) 5552888;;;"Jl. Prepedan RT/RW : 06/07 No. 26 Kamal Kali Deres Jakarta barat.
";;Lokal
5;A005;AYUNG;;__.___.___._.___.___;;;;"Jl. Prepedan 3 No. 38 Jakarta Barat";;Lokal
6;A006;ANUGRAH JAYA LESTARI, C. V.;;__.___.___._.___.___;(021) 55929202;;(021) 55929202;"Pergudangan Dadap Indah Blok BH No.45 Tangerang";;Lokal
7;A007;ALPHA RADIANT, P. T.;;__.___.___._.___.___;;;;"Pondok Gede Jakarta Timur";;Lokal
8;A008;ALCARINDO PRIMA, P. T.;YOGI;01.060.252.2.055.000;;;;"Jl. Tapir, Cakung KM 3,3 Sukapura Cilincing Jakarta Utara";;Lokal
9;A009;ANGKA WIJAYA SAKTI;;__.___.___._.___.___;;;;"";;Lokal
10;A010;ATIKA;;__.___.___._.___.___;;;;;;Lokal
11;A011;ABD. ROHMAN;;__.___.___._.___.___;;;;;;Lokal
12;A012;ALUM CENTRAL MANDIRI LESTARI, P. T.;;__.___.___._.___.___;;;;"Desa Kaluwung No.8 Kelurahan Cisereh Kecamatan Tigar
aksa Tangerang";;Lokal
13;A013;APOLLO;;__.___.___._.___.___;;;;"";;
14;A014;ALPHA TRANS CABLE, P. T.;BP. DEWA;__.___.___._.___.___;021-47866434;;;"JL. DJATI RAYA 3 A RAWAMANGUN, JAKARTA TIMUR. 13220.
";;Lokal
15;A015;ANTAR NUSA SAKTI JAYA, P.T.;;__.___.___._.___.___;;;;"JL. RAYA SALEMBARAN NO. 1 RT 37 RW 18
KP. GARDU, KOSAMBI TANGERANG";;Lokal
16;A016;ANGGUN, TN;;__.___.___._.___.___;;;;"TANGERANG";;
17;A017;AGUS SALIM;;__.___.___._.___.___;;;;"TANGERANG";;
18;A018;AUTORINDO SUKSES MANDIRI, P.T.;;__.___.___._.___.___;;;;;;
19;A019;ALI RINDHO;;__.___.___._.___.___;;;;;;
20;A020;AULIA AZIZA;;__.___.___._.___.___;;;;;;Lokal
21;A021;ARSHIYA METAL JAYA;;82.880.402.1.031.000;;;;"";;
22;B001;BAJA MAS, P.T.;;__.___.___._.___.___;(021) 5550861;;;"
Tegal Alur No. 83 Jakarta Barat";;Lokal
