id;kode_bank;nama_bank;nomor_rekening;created;created_by;modified;modified_by
1;MANDIRI;BANK MANDIRI ;;;;;
2;EKONOMI US$ DAAN MOGOT;BANK EKONOMI US$ DAAN MOGOT;;;;;
3;EKONOMI RPK;BANK EKONOMI PRK;;;;;
4;INDOVETS;BANK INDOVETS;;;;;
5;MANDIRI US$;BANK MANDIRI US$;;;;;
6;MASHILL;BANK MASHILL;;;;;
7;SUPREME;BANK SUPREME;;;;;
8;BAHARI TH;BANK BAHARI TAHAPAN;;;;;
9;LIPPO;LIPPO BANK;;;;;
10;LIPPO TH;BANK LIPPO TAHAPAN;;;;;
11;INDOVETS US$;BANK INDOVEST US$;;;;;
12;BALI;BANK BALI;;;;;
13;BALI US$;BANK BALI US$;;;;;
14;ABN AMRO US$;BANK ABN AMRO US$;;;;;
15;DANAMON;BANK DANAMON;;;;;
16;BCA;BANK CENTRAL ASIA (BCA);;;;;
17;LIPPO US$;BANK LIPPO US$;;;;;
18;BCA R/K;BANK CENTRAL ASIA (BCA R/K);;;;;
19;LIPPO US$ R/K;BANK LIPPO US$ R/K;;;;;
20;BCA BS;BANK BCA BS;;;;;
21;BCA US$;BANK BCA US$;;;;;
22;EKONOMI;BANK EKONOMI;;;;;
23;EKONOMI US$;BANK EKONOMI USD;;;;;
24;EKONOMI USD S/B;BANK EKONOMI USD S/B;;;;;
25;BANK ;BANK EKONOMI B/F;;;;;
26;EKONOMI USD M/S;BANK EKONOMI USD M/S;;;;;
27;EKONOMI RP M/S;BANK EKONOMI RP M/S;;;;;
28;BCA RP M/S;BCA RP M/S;;;;;
29;EKONOMI US$ DM;BANK EKONOMI US$ DM;;;;;
30;ALLIANZ;TABUNGAN  ALLIANZ;;;;;
31;EKONOMI R/T;BANK EKONOMI R/T;;;;;
32;EKONOMI R/B;EKONOMI R/B;;;;;
33;SENKIAWAN;BCA SENKIAWAN;;;;;
34;BCA  ROBERT TEDJA;BCA  ROBERT TEDJA;;;;;
35;BCA  MICHAEL;BCA  MICHAEL;;;;;
36;EKONOMI BUDINATA;EKONOMI BUDINATA;;;;;
37;BCA FRANS TJ;BCA FRANS TJ;;;;;
38;MAYORA;BANK MAYORA;;;;;
39;AGRIS;BANK AGRIS;;;;;
